rt_id,label,gtfs_rt_start_date,rt_page_name,rt_page_url,license_id,api_key,update_interval_sec,feed_entity,feed_url,note
r0001,宇野バス,20171117,Sujiya Systems,http://www3.unobus.co.jp/opendata/,cc0,0,15,TripUpdate,http://www3.unobus.co.jp/GTFS/GTFS_RT.bin,
r0001,宇野バス,20171117,Sujiya Systems,http://www3.unobus.co.jp/opendata/,cc0,0,15,VehiclePosition,http://www3.unobus.co.jp/GTFS/GTFS_RT-VP.bin,
r0001,宇野バス,20171117,Sujiya Systems,http://www3.unobus.co.jp/opendata/,cc0,0,15,Alert,http://www3.unobus.co.jp/GTFS/GTFS_RT-Alert.bin,
r0002,両備バス,20180711,RIOS Bus-Vision,https://loc.bus-vision.jp/ryobi/view/opendata.html,ccby40,0,15,TripUpdate,http://loc.bus-vision.jp/realtime/ryobi_trip_update.bin,
r0002,両備バス,20180711,RIOS Bus-Vision,https://loc.bus-vision.jp/ryobi/view/opendata.html,ccby40,0,15,VehiclePosition,http://loc.bus-vision.jp/realtime/ryobi_vpos_update.bin,
r0003,岡電バス,20180711,RIOS Bus-Vision,https://loc.bus-vision.jp/ryobi/view/opendata.html,ccby40,0,15,TripUpdate,http://loc.bus-vision.jp/realtime/okaden_trip_update.bin,
r0003,岡電バス,20180711,RIOS Bus-Vision,https://loc.bus-vision.jp/ryobi/view/opendata.html,ccby40,0,15,VehiclePosition,http://loc.bus-vision.jp/realtime/okaden_vpos_update.bin,
r0004,佐賀県内バス,20181009,佐賀県の路線バス情報のデータ,http://opendata.sagabus.info/,ccby40,0,,TripUpdate,http://opendata.sagabus.info/route.pb,
r0004,佐賀県内バス,20181009,佐賀県の路線バス情報のデータ,http://opendata.sagabus.info/,ccby40,0,,VehiclePosition,http://opendata.sagabus.info/vehicle.pb,
r0004,佐賀県内バス,20181009,佐賀県の路線バス情報のデータ,http://opendata.sagabus.info/,ccby40,0,,Alert,http://opendata.sagabus.info/alert.pb,
r0006,和歌山バス,20190330,RIOS Bus-Vision,https://loc.bus-vision.jp/wakayama/view/opendataWaka.html,ccby40,0,15,TripUpdate,http://loc.bus-vision.jp/realtime/wakayama_trip_update.bin,
r0006,和歌山バス,20190330,RIOS Bus-Vision,https://loc.bus-vision.jp/wakayama/view/opendataWaka.html,ccby40,0,15,VehiclePosition,http://loc.bus-vision.jp/realtime/wakayama_vpos_update.bin,
r0007,永井バス,20200121,永井バス オープンデータサイト,https://www.nagai-unyu.net/open-data/,ccby40,0,15,TripUpdate,https://realtime.gtfs.info/nagai-unyu/trip_update,新町玉村線・下川団地線・東大室線・荻窪公園線・嶺公園線
r0007,永井バス,20200121,永井バス オープンデータサイト,https://www.nagai-unyu.net/open-data/,ccby40,0,15,VehiclePosition,https://realtime.gtfs.info/nagai-unyu/vehicle,新町玉村線・下川団地線・東大室線・荻窪公園線・嶺公園線
r0007,永井バス,20200121,永井バス オープンデータサイト,https://www.nagai-unyu.net/open-data/,ccby40,0,15,Alert,https://realtime.gtfs.info/nagai-unyu/alert,新町玉村線・下川団地線・東大室線・荻窪公園線・嶺公園線
r0008,日本中央バス,20200122,日本中央バス　オープンデータサイト,https://www.ncbbus.co.jp/route/GTFS.htm,ccby40,0,15,TripUpdate,https://realtime.gtfs.info/ncbbus/trip_update,広瀬線・総社線・西大室線・高崎駅～大胡駅線・富士見線・川曲線・榛東線・吉岡線・シャトルバス
r0008,日本中央バス,20200122,日本中央バス　オープンデータサイト,https://www.ncbbus.co.jp/route/GTFS.htm,ccby40,0,15,VehiclePosition,https://realtime.gtfs.info/ncbbus/vehicle,広瀬線・総社線・西大室線・高崎駅～大胡駅線・富士見線・川曲線・榛東線・吉岡線・シャトルバス
r0008,日本中央バス,20200122,日本中央バス　オープンデータサイト,https://www.ncbbus.co.jp/route/GTFS.htm,ccby40,0,15,Alert,https://realtime.gtfs.info/ncbbus/alert,広瀬線・総社線・西大室線・高崎駅～大胡駅線・富士見線・川曲線・榛東線・吉岡線・シャトルバス
r0009,群馬中央バス,20200306,オープンデータサイト（ＧＴＦＳ－ＪＰ）（群馬中央バス）,http://gunmachuobus.co.jp/publics/index/53/,cc0,0,15,TripUpdate,https://realtime.gtfs.info/gunmachuobus/trip_update,伊勢崎市民病院～日赤病院線・前橋駅～芝塚～高崎駅線・前橋駅～立川町通り～新前橋駅西口線
r0009,群馬中央バス,20200306,オープンデータサイト（ＧＴＦＳ－ＪＰ）（群馬中央バス）,http://gunmachuobus.co.jp/publics/index/53/,cc0,0,15,VehiclePosition,https://realtime.gtfs.info/gunmachuobus/vehicle,伊勢崎市民病院～日赤病院線・前橋駅～芝塚～高崎駅線・前橋駅～立川町通り～新前橋駅西口線
r0009,群馬中央バス,20200306,オープンデータサイト（ＧＴＦＳ－ＪＰ）（群馬中央バス）,http://gunmachuobus.co.jp/publics/index/53/,cc0,0,15,Alert,https://realtime.gtfs.info/gunmachuobus/alert,伊勢崎市民病院～日赤病院線・前橋駅～芝塚～高崎駅線・前橋駅～立川町通り～新前橋駅西口線
r0010,豊橋市コミュニティバス,20190731,豊橋市 コミュニティバス（東三河オープンデータ）,https://opendata-east-mikawa.jp/node/787,cc0,1,,TripUpdate,https://knot.temirin.jp/public/communitybus/gtfs/realtime/trip-get,APIキーは1年ごと更新
r0010,豊橋市コミュニティバス,20190731,豊橋市 コミュニティバス（東三河オープンデータ）,https://opendata-east-mikawa.jp/node/787,cc0,1,,VehiclePosition,https://knot.temirin.jp/public/communitybus/gtfs/realtime/position-get,APIキーは1年ごと更新
r0010,豊橋市コミュニティバス,20190731,豊橋市 コミュニティバス（東三河オープンデータ）,https://opendata-east-mikawa.jp/node/787,cc0,1,,Alert,https://knot.temirin.jp/public/communitybus/gtfs/realtime/alert-get,APIキーは1年ごと更新
r0011,豊橋鉄道市内線,20190904,豊橋鉄道市内線（東三河オープンデータ）,https://opendata-east-mikawa.jp/node/784,cc0,1,,VehiclePosition,https://knot.temirin.jp/public/tram/gtfs/realtime/position-get,APIキーは1年ごと更新
r0011,豊橋鉄道市内線,20190904,豊橋鉄道市内線（東三河オープンデータ）,https://opendata-east-mikawa.jp/node/784,cc0,1,,Alert,https://knot.temirin.jp/public/tram/gtfs/realtime/alert-get,APIキーは1年ごと更新
r0012,まいどはやバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,TripUpdate,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-maidohaya/TripUpdates.pb,
r0012,まいどはやバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,VehiclePosition,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-maidohaya/VehiclePositions.pb,
r0013,呉羽いきいきバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,TripUpdate,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-kureha/TripUpdates.pb,
r0013,呉羽いきいきバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,VehiclePosition,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-kureha/VehiclePositions.pb,
r0014,水橋ふれあいコミュニティバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,TripUpdate,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-mizuhashi/TripUpdates.pb,
r0014,水橋ふれあいコミュニティバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,VehiclePosition,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-mizuhashi/VehiclePositions.pb,
r0015,婦中コミュニティバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,TripUpdate,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-fuchu/TripUpdates.pb,
r0015,婦中コミュニティバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,VehiclePosition,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-fuchu/VehiclePositions.pb,
r0016,八尾コミュニティバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,TripUpdate,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-yatsuo/TripUpdates.pb,
r0016,八尾コミュニティバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,VehiclePosition,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-yatsuo/VehiclePositions.pb,
r0017,大山コミュニティバス,20200407,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,cc0,0,20,TripUpdate,https://files-skybrain.ekispert.jp/toyama/gtfs-rt/latest/toyama-city-oyama/TripUpdates.pb,
